Id,CreationDate,PostId,RelatedPostId,LinkTypeId
"212715","2011-05-29 16:42:51","7599","1176","1"
"215216","2011-05-30 21:51:58","5920","6949","1"
"218142","2011-06-01 09:45:44","7801","4622","1"
"218143","2011-06-01 09:45:44","7801","6030","1"
"218194","2011-06-01 10:10:13","7803","1539","1"
"218470","2011-06-01 12:40:02","7807","1459","1"
"220796","2011-06-02 22:28:55","7836","6962","1"
"225122","2011-06-06 12:10:10","7909","7216","1"
"225773","2011-06-06 19:56:28","7931","7383","1"
"225924","2011-06-06 21:53:13","7925","6735","1"
"226650","2011-06-07 15:33:53","7966","7951","1"
"226676","2011-06-07 15:34:03","7951","7966","1"
"226752","2011-06-07 17:07:17","7966","2472","1"
"227303","2011-06-08 14:03:09","7998","1740","1"
"228054","2011-06-08 20:20:23","7986","6859","1"
"228055","2011-06-08 20:20:23","7986","2317","1"
"228881","2011-06-09 13:09:17","7979","3429","1"
"229458","2011-06-09 16:28:02","482","8019","1"
"230309","2011-06-09 22:03:47","8038","8039","1"
"232310","2011-06-10 19:58:40","8071","2317","1"
"238386","2011-06-14 15:09:13","8123","1863","1"
"239637","2011-06-15 07:29:48","8122","3281","1"
"242013","2011-06-16 11:53:38","8183","81","1"
"242964","2011-06-17 05:01:58","8223","5161","1"
"242965","2011-06-17 05:01:58","8223","1022","1"
"243766","2011-06-17 17:00:08","8277","4298","1"
"247242","2011-06-20 10:07:59","8351","5920","1"
"247243","2011-06-20 10:07:59","8351","6949","1"
"248419","2011-06-21 09:06:33","8361","4993","1"
"248420","2011-06-21 09:06:33","8361","4571","1"
"248971","2011-06-21 17:39:20","8382","7","1"
"249047","2011-06-21 19:29:07","8386","2533","1"
"249048","2011-06-21 19:31:23","8386","2429","1"
"249674","2011-06-22 13:27:11","8407","7197","1"
"251300","2011-06-23 14:47:44","8439","8173","1"
"251476","2011-06-23 19:33:28","8458","5686","1"
"251477","2011-06-23 19:33:28","8458","870","1"
"251878","2011-06-24 05:31:11","8463","4352","1"
"251879","2011-06-24 05:31:11","8463","831","1"
"251880","2011-06-24 05:31:50","8467","4352","1"
"251881","2011-06-24 05:31:50","8467","831","1"
"252407","2011-06-24 15:42:36","8485","2861","1"
"252708","2011-06-24 17:31:02","8496","1927","1"
"253159","2011-06-25 06:58:05","8491","8480","1"
"255885","2011-06-27 21:26:58","8569","37","1"
"255886","2011-06-27 21:26:58","8569","1072","1"
"266441","2011-07-04 17:08:00","8728","8526","1"
"270492","2011-07-06 17:01:15","8789","4796","1"
"270918","2011-07-07 04:58:10","1341","4790","1"
"272394","2011-07-08 05:58:00","8823","1080","1"
"275021","2011-07-10 16:59:55","8868","6876","1"
"275497","2011-07-10 21:29:36","8873","8480","1"
"275923","2011-07-11 02:52:17","8876","126","1"
"277124","2011-07-11 13:00:14","8876","1381","1"
"278276","2011-07-12 03:10:43","8896","8908","1"
"281378","2011-07-13 12:54:39","8885","1","1"
"282754","2011-07-13 23:54:53","8987","2020","1"
"283405","2011-07-14 11:03:57","8997","484","1"
"283906","2011-07-14 16:24:07","9007","2317","1"
"283907","2011-07-14 16:24:07","9007","8071","1"
"283908","2011-07-14 16:24:07","9007","3281","1"
"283909","2011-07-14 16:34:25","9007","8845","1"
"284435","2011-07-14 18:07:18","3281","2317","1"
"286011","2011-07-15 13:16:49","9024","3485","1"
"289737","2011-07-17 18:44:58","9059","8496","1"
"289913","2011-07-17 21:58:00","9070","8873","1"
"292789","2011-07-19 12:50:01","9116","7400","1"
"294315","2011-07-20 14:33:58","9116","8583","1"
"294366","2011-07-20 14:41:43","9141","2317","1"
"294842","2011-07-20 17:44:55","9184","1318","1"
"295568","2011-07-21 09:46:48","9199","5136","1"
"295569","2011-07-21 10:07:38","9198","2045","1"
"295645","2011-07-21 10:28:45","9200","8684","1"
"295821","2011-07-21 13:26:54","9207","3938","1"
"296347","2011-07-21 17:42:37","9224","9198","1"
"297248","2011-07-22 12:47:41","9247","8585","1"
"298600","2011-07-23 06:52:08","9262","216","1"
"298726","2011-07-23 13:39:34","9270","7863","1"
"301152","2011-07-25 17:00:32","9303","9093","1"
"301903","2011-07-26 08:51:48","9323","2472","1"
"301904","2011-07-26 09:17:20","9323","7966","1"
"303505","2011-07-27 14:16:18","9298","8585","1"
"307056","2011-07-29 14:39:41","9434","2608","1"
"310957","2011-08-01 08:16:19","9485","9434","1"
"312058","2011-08-01 16:40:51","9503","3117","1"
"315159","2011-08-02 18:16:52","9488","1022","1"
"315160","2011-08-02 18:16:52","9488","5161","1"
"315411","2011-08-02 19:09:57","9571","2530","1"
"315437","2011-08-02 19:22:48","9573","74","1"
"315989","2011-08-03 03:40:28","9581","9119","1"
"316490","2011-08-03 15:12:49","9619","3117","1"
"316541","2011-08-03 15:43:16","659","5706","1"
"317567","2011-08-04 01:07:28","9645","6418","1"
"318493","2011-08-04 08:21:58","9641","9053","1"
"319319","2011-08-04 16:28:52","2754","9619","1"
"319820","2011-08-04 22:30:43","9666","6820","1"
"320496","2011-08-05 09:38:16","9681","275","1"
"320497","2011-08-05 09:43:13","9681","583","1"
"320498","2011-08-05 10:33:10","583","275","1"
"321349","2011-08-05 19:08:48","9684","840","1"
"322325","2011-08-06 08:43:50","9718","74","1"
"322501","2011-08-06 11:49:49","9731","1114","1"
"322502","2011-08-06 11:49:49","9731","1152","1"
"327005","2011-08-09 16:40:47","9809","4796","1"
"329506","2011-08-10 21:13:27","9819","1539","1"
"330007","2011-08-11 00:55:24","9889","984","1"
"330283","2011-08-11 07:21:28","9895","8439","1"
"331609","2011-08-11 20:19:12","9908","9932","1"
"332160","2011-08-12 07:22:08","9946","1072","1"
"332161","2011-08-12 07:22:08","9946","37","1"
"332162","2011-08-12 07:22:08","9946","1042","1"
"334888","2011-08-13 18:38:59","9944","1442","1"
"335064","2011-08-13 20:48:45","9991","9544","1"
"335715","2011-08-14 07:49:49","10017","6820","1"
"336316","2011-08-14 15:24:49","10022","8480","1"
"338367","2011-08-15 07:54:29","10035","9544","1"
"338693","2011-08-15 10:51:43","10046","4200","1"
"339544","2011-08-15 18:46:15","10068","4063","1"
"339620","2011-08-15 19:08:24","10067","7566","1"
"340446","2011-08-16 07:20:45","10083","10050","1"
"342797","2011-08-17 07:42:40","10128","5740","1"
"342798","2011-08-17 07:57:42","10038","3990","1"
"342874","2011-08-17 08:27:50","9898","4078","1"
"349625","2011-08-20 08:50:25","10256","7100","1"
"354676","2011-08-23 09:32:35","2501","4636","1"
"355727","2011-08-23 19:22:52","10400","7174","1"
"355753","2011-08-23 19:31:03","10400","6419","1"
"355854","2011-08-23 22:49:30","10416","9414","1"
"355955","2011-08-24 01:42:40","10357","536","1"
"356181","2011-08-24 07:18:39","5456","9619","1"
"356357","2011-08-24 09:56:15","10400","4679","1"
"356733","2011-08-24 14:40:34","10426","691","1"
"358684","2011-08-25 15:00:45","10497","5021","1"
"358685","2011-08-25 15:04:47","10497","9852","1"
"360011","2011-08-26 09:16:36","10526","10362","1"
"360037","2011-08-26 09:20:17","10362","10526","1"
"360688","2011-08-26 18:30:51","10548","9814","1"
"373139","2011-09-01 17:04:22","10737","71","1"
"373415","2011-09-01 18:20:38","10742","71","1"
"375116","2011-09-02 13:20:08","10774","10426","1"
"376467","2011-09-03 07:03:49","10789","10039","1"
"383493","2011-09-06 18:54:28","10880","2898","1"
"384044","2011-09-07 06:09:49","4705","4439","1"
"385645","2011-09-08 06:31:13","10984","953","1"
"388171","2011-09-09 15:59:51","11043","10312","1"
"388422","2011-09-09 18:48:49","11056","10695","1"
"393323","2011-09-12 10:23:20","11121","10865","1"
"396324","2011-09-13 13:34:39","11177","1737","1"
"396350","2011-09-13 13:42:26","11198","5675","1"
"401526","2011-09-15 12:40:05","11318","5124","1"
"401702","2011-09-15 13:11:53","11325","1382","1"
"402928","2011-09-15 19:06:18","11363","5512","1"
"404304","2011-09-16 09:11:12","11386","2759","1"
"404355","2011-09-16 09:26:05","11229","2530","1"
"404556","2011-09-16 11:10:53","11401","10097","1"
"404783","2011-09-16 12:42:03","7604","11401","1"
"404959","2011-09-16 14:15:18","11401","10301","1"
"406360","2011-09-17 06:49:16","11457","4567","1"
"406361","2011-09-17 06:49:16","11457","5266","1"
"406362","2011-09-17 06:49:16","11457","5175","1"
"407338","2011-09-17 19:00:08","11479","2536","1"
"411964","2011-09-20 02:12:01","11549","9946","1"
"413040","2011-09-20 13:56:30","11549","10038","1"
"413516","2011-09-20 17:40:10","11606","11582","1"
"413542","2011-09-20 17:41:30","11606","10853","1"
"413793","2011-09-20 20:00:21","6770","8139","1"
"414044","2011-09-20 21:44:26","11616","10232","1"
"415095","2011-09-21 10:09:07","11642","11020","1"
"416471","2011-09-22 00:23:00","11660","5456","1"
"417022","2011-09-22 11:29:00","11702","3117","1"
"419823","2011-09-23 12:57:26","11801","11800","1"
"423949","2011-09-25 14:12:53","11872","9544","1"
"423950","2011-09-25 14:16:15","11872","10035","1"
"425401","2011-09-26 10:30:56","11891","2472","1"
"425902","2011-09-26 14:47:40","11881","11898","1"
"426878","2011-09-26 20:41:59","11936","1080","1"
"428004","2011-09-27 09:06:50","11958","375","1"
"428380","2011-09-27 12:44:07","11977","11401","1"
"429081","2011-09-27 18:33:02","12001","1954","1"
"430282","2011-09-28 08:02:20","11751","11842","1"
"430333","2011-09-28 08:28:04","12030","10911","1"
"430684","2011-09-28 12:32:07","12037","4348","1"
"430960","2011-09-28 16:24:43","11604","343","1"
"432611","2011-09-29 09:57:10","12089","4901","1"
"434112","2011-09-29 21:24:06","12138","12100","1"
"434263","2011-09-30 00:08:18","12135","11891","1"
"442789","2011-10-03 22:00:10","12280","8972","1"
"444065","2011-10-04 14:16:58","12300","11965","1"
"444816","2011-10-04 19:37:12","12284","12323","1"
"447492","2011-10-05 15:56:37","12357","12356","1"
"447493","2011-10-05 15:57:01","12356","12357","1"
"451444","2011-10-07 12:35:02","12427","12397","1"
"453245","2011-10-08 12:59:04","12437","11150","1"
"456396","2011-10-10 07:54:26","12492","6576","1"
"457347","2011-10-10 16:02:11","12519","11121","1"
"460423","2011-10-12 06:19:51","12622","9336","1"
"464274","2011-10-13 21:52:17","12731","216","1"
"465500","2011-10-14 13:21:02","12756","12741","1"
"465501","2011-10-14 13:43:33","12756","5727","1"
"465577","2011-10-14 14:10:21","12289","12741","1"
"466503","2011-10-14 19:56:56","12797","4679","1"
"470279","2011-10-16 09:55:39","12837","9746","1"
"474980","2011-10-18 06:50:22","12908","12854","1"
"475931","2011-10-18 16:53:05","12917","1318","1"
"476857","2011-10-18 23:14:45","12944","12933","1"
"480858","2011-10-20 12:25:36","13004","11121","1"
"481134","2011-10-20 13:55:02","13013","11965","1"
"482260","2011-10-20 23:13:41","5105","1539","1"
"482611","2011-10-21 02:58:25","13049","8918","1"
"482837","2011-10-21 07:28:19","10438","10251","1"
"483388","2011-10-21 14:00:28","3462","9969","1"
"488139","2011-10-24 06:01:39","13128","2317","1"
"488140","2011-10-24 06:01:39","13128","8845","1"
"488141","2011-10-24 06:01:39","13128","9007","1"
"488142","2011-10-24 06:01:39","13128","7986","1"
"488143","2011-10-24 06:01:39","13128","6859","1"
"489694","2011-10-24 17:03:44","13141","8837","1"
"489770","2011-10-24 18:02:26","13146","11582","1"
"494896","2011-10-26 21:12:50","13211","4696","1"
"495172","2011-10-27 00:00:32","13224","13097","1"
"495440","2011-10-27 09:54:26","13237","13211","1"
"495632","2011-10-27 14:08:37","13231","12138","1"
"496616","2011-10-29 09:49:10","5942","4511","1"
"497297","2011-10-31 09:50:54","13330","3560","1"
"498127","2011-11-01 23:41:54","12268","12269","1"
"498339","2011-11-02 09:07:08","13380","7426","1"
"498957","2011-11-03 10:24:21","13475","7174","1"
"499258","2011-11-03 20:19:12","13511","13413","1"
"499511","2011-11-04 13:24:39","13449","3117","1"
"499512","2011-11-04 13:24:39","13449","5456","1"
"499535","2011-11-04 13:51:46","13511","12512","1"
"499589","2011-11-04 16:06:24","13522","13012","1"
"500051","2011-11-05 19:09:14","13572","2980","1"
"500221","2011-11-06 09:54:27","13586","11965","1"
"500441","2011-11-06 23:21:06","13596","6849","1"
"500622","2011-11-07 12:26:45","13605","1367","1"
"500843","2011-11-07 22:48:54","13632","5124","1"
"500951","2011-11-08 02:01:47","13586","13013","1"
"501492","2011-11-08 21:59:43","13683","11285","1"
"501614","2011-11-09 03:09:30","13691","2980","1"
"501615","2011-11-09 03:14:22","2980","8019","1"
"501711","2011-11-09 06:47:09","13695","13674","1"
"502174","2011-11-10 01:17:42","13717","1944","1"
"503189","2011-11-11 19:57:48","13825","12356","1"
"504682","2011-11-15 10:19:25","13936","10181","1"
"504683","2011-11-15 10:23:34","13936","5211","1"
"504862","2011-11-15 16:43:51","13971","1080","1"
"505157","2011-11-16 01:19:43","13973","1773","1"
"505272","2011-11-16 08:24:48","13277","13989","1"
"505383","2011-11-16 11:05:38","14016","13530","1"
"505394","2011-11-16 12:42:08","13935","8970","1"
"505397","2011-11-16 13:31:52","8970","13935","1"
"505780","2011-11-16 23:57:04","14048","13860","1"
"505886","2011-11-17 10:03:46","14058","12629","1"
"506836","2011-11-19 01:40:00","14069","691","1"
"507512","2011-11-20 12:23:42","14159","74","1"
"507594","2011-11-20 17:48:00","13601","7131","1"
"507791","2011-11-21 09:52:08","3592","11891","1"
"507845","2011-11-21 12:36:09","3592","2472","1"
"507877","2011-11-21 13:14:08","14127","11891","1"
"508187","2011-11-21 23:34:35","14185","10520","1"
"508214","2011-11-22 01:23:43","14173","8297","1"
"508274","2011-11-22 02:28:33","14190","1850","1"
"508302","2011-11-22 04:02:24","13687","1850","1"
"508418","2011-11-22 06:35:41","14173","13351","1"
"508459","2011-11-22 11:38:18","14184","8399","1"
"508658","2011-11-22 19:40:31","14235","4503","1"
"509516","2011-11-24 10:38:45","14296","10853","1"
"509591","2011-11-24 14:15:25","14303","5735","1"
"511243","2011-11-28 21:11:49","14127","2472","1"
"511247","2011-11-28 21:48:16","14422","135","1"
"511358","2011-11-29 00:27:31","14428","10400","1"
"511630","2011-11-29 14:36:20","9619","5456","1"
"512481","2011-11-30 17:53:51","14523","1232","1"
"512537","2011-11-30 21:08:38","14523","5119","1"
"512561","2011-11-30 21:38:58","14479","1232","1"
"512631","2011-12-01 01:07:33","14519","840","1"
"512910","2011-12-01 16:22:53","14549","14534","1"
"513895","2011-12-04 00:45:00","14619","505","1"
"514727","2011-12-05 14:34:18","14651","1367","1"
"515239","2011-12-06 08:07:59","14691","74","1"
"516152","2011-12-07 19:03:33","14744","135","1"
"516573","2011-12-08 14:23:26","14795","14571","1"
"517254","2011-12-09 12:29:04","14841","14571","1"
"517405","2011-12-09 15:09:32","14849","9004","1"
"517512","2011-12-09 17:02:31","14861","14836","1"
"518053","2011-12-10 21:26:08","14902","5570","1"
"518054","2011-12-10 21:26:08","14902","831","1"
"518202","2011-12-11 06:32:04","14914","13450","1"
"518505","2011-12-12 00:50:33","14925","9105","1"
"518506","2011-12-12 00:50:33","14925","11891","1"
"518687","2011-12-12 08:48:31","14928","3618","1"
"518826","2011-12-12 13:41:36","14876","9303","1"
"518994","2011-12-12 17:55:29","11986","8610","1"
"518995","2011-12-12 17:55:29","11986","14791","1"
"519155","2011-12-12 22:05:29","14975","2942","1"
"519181","2011-12-12 22:20:02","14972","14571","1"
"519469","2011-12-13 10:11:57","14622","11660","1"
"519536","2011-12-13 11:27:01","14993","3454","1"
"519594","2011-12-13 13:55:25","14990","4888","1"
"519993","2011-12-14 12:19:23","15036","15001","1"
"520073","2011-12-14 14:52:40","15041","5161","1"
"520113","2011-12-14 15:33:51","15036","11949","1"
"520712","2011-12-15 16:06:13","15075","12408","1"
"520868","2011-12-15 20:37:51","12985","14453","1"
"521339","2011-12-16 20:50:37","15122","74","1"
"521862","2011-12-18 03:29:11","15147","74","1"
"522803","2011-12-19 23:51:40","15198","12756","1"
"523340","2011-12-20 21:50:42","3864","1712","1"
"523383","2011-12-21 00:46:34","15162","12606","1"
"523670","2011-12-21 13:47:51","5529","15146","1"
"523728","2011-12-21 15:11:26","15291","1795","1"
"523742","2011-12-21 16:14:51","15291","3117","1"
"524441","2011-12-22 14:06:01","15315","3121","1"
"524549","2011-12-22 15:38:18","15342","13263","1"
"525001","2011-12-23 07:30:46","15372","15291","1"
"525130","2011-12-23 12:58:28","6576","12492","1"
"526110","2011-12-26 12:20:12","15417","7219","1"
"526416","2011-12-27 09:00:18","8382","1072","1"
"526417","2011-12-27 09:00:29","8382","8569","1"
"526418","2011-12-27 09:08:23","3429","7979","1"
"526419","2011-12-27 09:09:38","3429","3177","1"
"526420","2011-12-27 09:09:50","7979","3177","1"
"526421","2011-12-27 09:10:13","3177","3429","1"
"526422","2011-12-27 09:10:13","3177","7979","1"
"526425","2011-12-27 09:23:38","15430","8569","1"
"526426","2011-12-27 09:23:38","15430","37","1"
"526427","2011-12-27 09:23:38","15430","1072","1"
"526428","2011-12-27 09:23:38","15430","8382","1"
"526429","2011-12-27 09:23:38","15430","247","1"
"526824","2011-12-28 02:43:13","15463","9745","1"
"526850","2011-12-28 02:50:29","15464","15085","1"
"527517","2011-12-29 10:40:48","15506","14791","1"
"527653","2011-12-29 16:00:02","15545","12637","1"
"528200","2011-12-30 11:34:43","15573","5748","1"
"528251","2011-12-30 14:17:07","15565","8970","1"
"528252","2011-12-30 14:17:07","15565","10061","1"
"528253","2011-12-30 14:17:07","15565","13935","1"
"528439","2011-12-30 19:36:18","15583","15550","1"
"528471","2011-12-30 21:04:08","15594","8569","1"
"529570","2012-01-02 14:52:23","15575","11309","1"
"529900","2012-01-03 08:47:41","15655","14833","1"
"529901","2012-01-03 08:49:01","15655","2530","1"
"530694","2012-01-04 20:10:27","5468","5419","1"
"530711","2012-01-05 01:00:26","15738","1257","1"
"530793","2012-01-05 07:21:04","15728","9971","1"
"531088","2012-01-05 23:10:22","15770","14791","1"
"531681","2012-01-06 19:56:12","15798","11660","1"
"532420","2012-01-08 23:21:30","15835","2530","1"
"532927","2012-01-09 20:05:02","15753","14791","1"
"532975","2012-01-09 20:56:32","15899","15919","1"
"533481","2012-01-10 18:54:14","6929","14928","1"
"533770","2012-01-11 09:09:41","15982","2020","1"
"533771","2012-01-11 09:09:57","15995","10995","1"
"533969","2012-01-11 17:36:45","16009","15939","1"
"533970","2012-01-11 17:51:30","16012","16009","1"
"534037","2012-01-11 20:21:44","15978","12645","1"
"534066","2012-01-11 21:10:43","16020","3462","1"
"534802","2012-01-13 14:44:17","16078","16009","1"
"534803","2012-01-13 14:44:17","16078","16012","1"
"534833","2012-01-13 15:53:47","16065","2","1"
"534869","2012-01-13 16:35:26","16083","5248","1"
"534872","2012-01-13 17:07:54","16020","9969","1"
"535229","2012-01-14 15:36:17","16100","16078","1"
"535858","2012-01-16 12:46:31","16153","15995","1"
"535891","2012-01-16 13:23:54","16149","16139","1"
"535895","2012-01-16 13:38:00","16157","13004","1"
"535986","2012-01-16 15:40:07","16160","11020","1"
"536471","2012-01-17 04:26:18","16204","16045","1"
"536697","2012-01-17 14:10:15","16212","15814","1"
"537068","2012-01-18 09:35:53","16267","8873","1"
"537070","2012-01-18 09:39:47","16252","16036","1"
"537677","2012-01-19 13:01:43","16281","14286","1"
"537678","2012-01-19 13:01:43","16281","15558","1"
"538012","2012-01-19 21:04:06","16333","7174","1"
"539811","2012-01-23 15:58:40","16454","3841","1"
"539830","2012-01-23 16:00:27","3841","135","1"
"539960","2012-01-23 18:09:09","16465","261","1"
"539978","2012-01-23 18:22:10","16460","5237","1"
"540105","2012-01-23 23:38:18","16465","3454","1"
"540583","2012-01-24 20:55:14","16507","16505","1"
"541137","2012-01-25 15:28:58","16552","15172","1"
"541155","2012-01-25 15:55:36","16550","15836","1"
"541192","2012-01-25 17:20:49","16545","7216","1"
"541254","2012-01-25 21:07:20","16563","16433","1"
"541334","2012-01-25 22:53:33","16564","11965","1"
"541802","2012-01-26 18:51:59","16592","9971","1"
"542195","2012-01-27 14:58:45","16628","10301","1"
"543010","2012-01-29 16:10:35","16679","8297","1"
"543663","2012-01-30 15:39:02","16715","15463","1"
"543716","2012-01-30 17:24:56","16707","12622","1"
"543717","2012-01-30 17:49:18","14622","13444","1"
"543744","2012-01-30 19:02:05","16730","16694","1"
"543895","2012-01-30 22:56:27","16736","11936","1"
"544061","2012-01-31 07:34:11","16734","15405","1"
"544062","2012-01-31 07:37:27","15405","16734","1"
"544235","2012-01-31 13:00:13","16755","5145","1"
"544236","2012-01-31 13:00:13","16755","7597","1"
"544376","2012-01-31 17:35:51","16775","4227","1"
"544512","2012-01-31 23:33:12","16781","3618","1"
