Id,SourceTagName,TargetTagName,CreationDate,OwnerUserId,AutoRenameCount,LastAutoRename,Score,ApprovedByUserId,ApprovalDate
"56","naming","terminology","2014-08-05 13:17:11","7627","29","2018-09-10 07:19:31","0","7627","2014-08-05 13:17:48"
"57","admin","administration","2014-10-08 20:48:13","7627","37","2018-09-14 05:35:44","0","7627","2014-10-08 20:48:19"
"58","user","users","2015-01-09 20:26:42","7627","196","2018-09-13 13:20:41","0","7627","2015-01-09 20:26:50"
"59","organisation","organization","2015-01-30 09:30:15","4595","0","","0","4595","2015-01-30 09:30:15"
"60","organisations","organizations","2015-01-30 09:31:24","4595","0","","0","4595","2015-01-30 09:31:24"
"61","data-visualisation","info-visualisation","2015-02-09 15:24:18","7627","111","2018-06-06 05:36:34","0","7627","2015-02-09 15:24:29"
"62","action","actions","2015-02-27 14:36:32","7627","8","2018-08-31 14:04:25","0","7627","2015-02-27 14:36:41"
"63","back","back-button","2015-02-27 14:37:31","7627","6","2018-06-08 12:49:13","0","7627","2015-02-27 14:37:35"
"64","booking-system","booking","2015-02-27 14:38:17","7627","1","2018-04-28 01:20:08","0","7627","2015-02-27 14:42:03"
"66","categories","categorization","2015-02-27 14:39:20","7627","17","2018-08-28 07:20:07","0","7627","2015-02-27 14:42:05"
"67","compare","comparison","2015-02-27 14:40:25","7627","5","2017-11-01 20:45:52","0","7627","2015-02-27 14:42:06"
"68","internationalization","internationalisation","2015-03-31 19:35:39","4679","0","","0","4679","2015-03-31 19:35:39"
"69","agile-development","agile","2015-04-21 13:34:41","7627","15","2018-09-01 20:44:14","0","7627","2015-04-21 13:34:47"
"70","focus","input-focus","2015-07-14 15:32:18","7627","14","2018-06-04 10:42:33","0","7627","2015-07-14 15:32:24"
"72","disabilities","accessibility","2016-01-04 19:03:11","7627","8","2018-05-29 15:49:36","0","7627","2016-01-04 19:03:11"
"73","cart","shopping-cart","2016-01-18 19:40:50","4679","1","2018-07-17 13:19:26","0","4679","2016-01-18 19:40:50"
"74","user-testing","usability-testing","2016-02-21 10:41:18","3865","5","2018-08-20 06:33:49","0","3865","2016-02-21 10:41:18"
"75","selling-ux","institutionalizing-ux","2016-05-09 11:49:38","36441","0","","0","",""
"76","google-material-design","material-design","2016-08-10 08:21:41","4595","0","","0","",""
